,0
1437,万州北
1438,白河东
1439,桂林
1440,歪头山
1441,进贤南
1442,汤头沟
1443,陆川
1444,镇平
1445,泥河子
1446,大庆东
1447,南充北
1448,玉林
1449,临泽
1450,朱砂古镇
1451,大板
1452,孝南
1453,泾川
1454,马兰
1455,哈达阳
1456,古交
1457,沙园
1458,扎鲁特
1459,沙县
1460,石嘴山
1461,北宅
1462,龙游
1463,小河镇
1464,罗源
1465,干溪沟
1466,北京东
1467,新阳镇
1468,大徐屯
1469,盘州
1470,鸡冠山
1471,喀什
1472,古东
1473,枝江北
1474,广元
1475,高村
1476,小新街
1477,颍上
1478,沐滂
1479,白涛
1480,四道湾
1481,铜陵北
1482,盘锦
1483,石林南
1484,海宁西
1485,皮口南
1486,湾沟
1487,平型关
1488,滨海北
1489,大虎山
1490,钦州
1491,乌苏
1492,汕头
1493,野三坡
1494,芦沟
1495,江油北
1496,道清
1497,顺昌
1498,文安
1499,大乌苏
1500,南华北
1501,平坝南
1502,大通西
1503,瓜州
1504,五五
1505,歙县北
1506,精河
1507,兰考南
1508,济源
1509,崇州
1510,东升
1511,安龙
1512,寮步
1513,杨桥
1514,板塘
1515,三把火
1516,司家岭
1517,孝感
1518,富源北
1519,无锡
1520,龙山镇
1521,龙南
1522,永定
1523,仁布
1524,东明县
1525,信阳
1526,南台
1527,淮滨
1528,蔡家坡
1529,永城北
1530,哈拉苏
1531,乾安
1532,晋中
1533,新余北
1534,伊春
1535,抚顺
1536,遂平
1537,西岗子
1538,合浦
1539,侯马
1540,梅江
1541,互助
1542,中兴
1543,永甸
1544,齐齐哈尔
1545,潼关
1546,安庆西
1547,建水
1548,石头
1549,长沙
1550,红安
1551,卓资东
1552,河洛营
1553,铁厂沟
1554,蛟河
1555,六道河子
1556,虎林
1557,闹海营
1558,铁刹山
1559,东胜
1560,北马圈子
1561,博兴
1562,闽清
1563,狮山北
1564,济南
1565,息县
1566,雨格
1567,阿城
1568,宣家沟
1569,北京大兴
1570,朝天南
1571,抚宁
1572,蔡家崖
1573,新乡东
1574,李家坪
1575,佛坪
1576,沙坡头
1577,商河
1578,深圳北
1579,泡子
1580,清河门北
1581,坡底下
1582,南通
1583,黄梅
1584,吴圩
1585,乌鲁布铁
1586,大杨树
1587,华山
1588,纳雍
1589,西昌
1590,陆良
1591,康熙岭
1592,淮南
1593,汤旺河
1594,鄢陵
1595,小宋
1596,勉县
1597,常州北
1598,水泉
1599,化德
1600,丹徒
1601,高碑店
1602,济宁
1603,露水河
1604,微子镇
1605,岐山
1606,息烽
1607,广宁
1608,二道湾
1609,曹妃甸东
1610,青神
1611,黄州
1612,株洲西
1613,三元坝
1614,银滩
1615,阿巴嘎旗
1616,汤池
1617,郭家店
1618,礼泉
1619,敖来
1620,石家庄
1621,平邑
1622,鸟岛
1623,井店
1624,花楼坝
1625,通远堡
1626,杨陵
1627,黑山北
1628,望牛墩
1629,梨树镇
1630,松江南
1631,吉安西
1632,黄羊滩
1633,后湖
1634,刚察
1635,双流机场
1636,鄱阳
1637,杨树岭
1638,黄羊湾
1639,深圳机场北
1640,滕州东
1641,天河街
1642,兴义
1643,东通化
1644,滕州
1645,棋子湾
1646,山阴
1647,沙河
1648,园墩
1649,茶卡
1650,宜兴
1651,郑州西
1652,阜阳西
1653,长汀南
1654,碧州
1655,托克托东
1656,碧鸡关
1657,当阳
1658,望都
1659,南宫东
1660,白狼
1661,东辛庄
1662,台州
1663,肇东
1664,铁口
1665,昆阳
1666,黄冈西
1667,惠环
1668,岳阳
1669,龙江
1670,天门南
1671,宁东
1672,临江场
1673,讷河
1674,济南西
1675,十八台
1676,南陈铺
1677,英德西
1678,潢川
1679,兰棱
1680,红山
1681,交城
1682,海城
1683,大连
1684,韩麻营
1685,防城港北
1686,鹤北
1687,小姑家
1688,鄂州
1689,贲红
1690,土地堂东
1691,定襄
1692,乌奴耳
1693,桥西
1694,海宁
1695,明光
1696,阿贵图
1697,光泽
1698,东淤地
1699,平庄
1700,东岔
1701,元龙
1702,梅河口
1703,金钟
1704,南湖东
1705,大竹园
1706,巴中东
1707,太平庄
1708,大战场
1709,关岭
1710,玉溪西
1711,风水沟
1712,宜昌东
1713,江永
1714,牙克石
1715,六盘山
1716,谭家井
1717,通化县
1718,美溪
1719,北海
1720,江华
1721,土桥子
1722,曹家营子
1723,库尔勒
1724,淮南南
1725,尚志
1726,泗阳
1727,赶水
1728,兴泉堡
1729,衡水北
1730,永川东
1731,金月湾
1732,达州
1733,曲阜东
1734,华山北
1735,鹤立
1736,黄平
1737,顺义
1738,东镇
1739,延安
1740,华城
1741,沿河城
1742,古源
1743,龙沟
1744,清涧县
1745,开封北
1746,景德镇北
1747,淮安南
1748,井冈山
1749,西宁
1750,阳泉北
1751,滁州北
1752,隆安东
1753,偏岭
1754,黄柏
1755,古田
1756,资中
1757,凌源
1758,辰清
1759,松山湖北
1760,土牧尔台
1761,上杭
1762,临邑
1763,小西庄
1764,中宁南
1765,三营
1766,来舟
1767,宝坻
1768,许昌北
1769,南阳
1770,开江
1771,图里河
1772,文昌
1773,平度
1774,茄子溪
1775,龙口市
1776,白旗
1777,曹妃甸港
1778,虢镇
1779,暖泉
1780,余粮堡
1781,万发屯
1782,麓谷
1783,首山
1784,曾口
1785,花园口
1786,乌海西
1787,水洋
1788,美兰
1789,桃山
1790,沙河市
1791,吉文
1792,黄土店
1793,鲁番
1794,牟平
1795,雁石南
1796,白银哈尔
1797,曲靖
1798,大雁
1799,双辽
1800,燕郊
1801,西丰
1802,东兴
1803,盐津北
1804,立志
1805,博乐
1806,百里峡
1807,仪征
1808,常庄
1809,罗山
1810,通榆
1811,七龙星
1812,龙池
1813,上海南
1814,日喀则
1815,大民屯
1816,旗下营南
1817,悬钟
1818,临城
1819,北碚
1820,遂宁
1821,阜新南
1822,子长
1823,安靖
1824,高台
1825,福海
1826,榆次
1827,北戴河
1828,子洲
1829,营口
1830,乌固诺尔
1831,惠州西
1832,上板城南
1833,洞口
1834,启东
1835,天水南
1836,泊头
1837,龙里
1838,轮台
1839,宿迁
1840,珠琳
1841,青岛西
1842,半截河
1843,元氏
1844,玉山
1845,瑞金
1846,郴州西
1847,青州市
1848,界山
1849,林海
1850,沭阳
1851,双河市
1852,四会
1853,庙山
1854,老府
1855,彰武
1856,弋江
1857,长汀镇
1858,李石寨
1859,渠县
1860,乐山北
1861,八方山
1862,赣州西
1863,绥棱
1864,凤州
1865,七营
1866,大连西
1867,弓棚子
1868,乐都南
1869,峰洞
1870,大林
1871,兰岭
1872,沙坪坝
1873,唐河
1874,鲁山
1875,一面坡
1876,瑞昌
1877,堡子湾
1878,阿克陶
1879,珲春
1880,乌海
1881,长治
1882,焉耆
1883,汝箕沟
1884,昂昂溪
1885,杨陵南
1886,民族
1887,临江溪
1888,石峡子
1889,红彦
1890,泰州
1891,卡伦
1892,耒阳
1893,信丰
1894,柴岗
1895,沙岭
1896,厦门北
1897,石人
1898,复盛
1899,祥云西
1900,娘子关
1901,崇仁
1902,广水
1903,福利区
1904,通北
1905,杜尔伯特
1906,阳城
1907,石柱县
1908,西哲里木
1909,焦作
1910,葵潭
1911,巩义
1912,唐山
1913,山丹
1914,余姚
1915,盐城
1916,长寿湖
1917,旬阳北
1918,玛纳斯
1919,葡萄菁
1920,亭林
1921,江都
1922,当涂东
1923,北流
1924,柯柯
1925,临川
1926,安富镇
1927,霍邱
1928,毛坝关
1929,瓦窑田
1930,忻州
1931,小南海
1932,龙桥
1933,富阳
1934,清河
1935,贺州
1936,大石头
1937,太和东
1938,太和北
1939,呼和浩特东
1940,元谋西
1941,渭南
1942,五寨
1943,张桥
1944,上谷
1945,双龙山
1946,南丹
1947,陵水
1948,鄠邑
1949,岳阳东
1950,明安
1951,北井子
1952,白涧
1953,宁武
1954,宁乡
1955,灵宝
1956,白石山
1957,西大庙
1958,龙川
1959,大杨树东
1960,谷城北
1961,羊坪
1962,樟树东
1963,十家子
1964,石龙
1965,新安县
1966,河边
1967,襄阳东
1968,红光镇
1969,随县
1970,豆沙关
1971,八面城
